[13:23:51] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:23:54] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[13:24:46] [Worker-Main-7/INFO]: Preparing spawn area: 73%
[13:24:47] [Worker-Main-7/INFO]: Preparing spawn area: 75%
[13:24:47] [Worker-Main-3/INFO]: Preparing spawn area: 78%
[13:24:48] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[13:24:48] [Worker-Main-5/INFO]: Preparing spawn area: 82%
[13:24:49] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[13:24:49] [Worker-Main-7/INFO]: Preparing spawn area: 84%
[13:24:50] [Worker-Main-5/INFO]: Preparing spawn area: 85%
[13:24:50] [Worker-Main-6/INFO]: Preparing spawn area: 86%
[13:24:51] [Worker-Main-4/INFO]: Preparing spawn area: 88%
[13:24:51] [Worker-Main-7/INFO]: Preparing spawn area: 89%
[13:24:52] [Worker-Main-6/INFO]: Preparing spawn area: 90%
[13:24:52] [Worker-Main-7/INFO]: Preparing spawn area: 92%
[13:24:53] [Worker-Main-7/INFO]: Preparing spawn area: 93%
[13:24:53] [Worker-Main-4/INFO]: Preparing spawn area: 95%
[13:24:54] [Worker-Main-7/INFO]: Preparing spawn area: 97%
[13:24:54] [Server thread/INFO]: Time elapsed: 47025 ms
[13:24:54] [Server thread/INFO]: Done (57.444s)! For help, type "help"
